Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
BLR,Belarus,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,,,87487.29,74451.10,65914.33,62118.98,60157.14,59519.08,57597.57,55819.07,53468.53,52595.78,52390.43,53721.55,58220.96,59042.37,61807.29,60256.14,62815.71,,,
BLZ,Belize,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,311.70,359.37,355.70,377.70,374.03,377.70,308.03,388.70,370.37,601.39,689.40,711.40,359.37,374.03,381.37,396.04,407.04,425.37,425.37,,,
BMU,Bermuda,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,597.72,509.71,407.04,480.38,473.04,465.71,476.71,476.71,462.04,495.05,495.05,495.05,524.38,509.71,671.06,443.71,520.71,517.05,388.70,,,
BOL,Bolivia,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,5504.17,5779.19,6648.27,8038.06,8907.14,9424.19,8734.79,9842.23,10326.27,9768.89,9519.53,8830.14,8346.09,11521.71,10626.97,10293.27,10465.62,13054.52,12834.50,,,
BRA,Brazil,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,208886.99,219330.60,220705.73,230738.64,242154.01,275564.05,301244.05,321199.86,314012.54,322068.94,330125.34,339894.23,335185.80,324753.19,341166.68,349967.48,352541.71,368368.49,393219.74,,,
BRB,Barbados,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,1074.43,1206.44,979.09,1114.77,748.07,828.74,850.74,902.08,1140.44,1210.11,1188.11,1221.11,1228.45,1268.78,1294.45,1353.12,1371.46,1349.46,1353.12,,,
BRN,Brunei Darussalam,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,6420.92,5815.86,5808.53,5588.51,5408.83,5515.17,5595.84,5812.20,5984.54,4598.42,6527.26,6197.23,5320.82,5357.49,5361.15,5126.47,4822.11,9559.87,10593.96,,,
BTN,Bhutan,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,128.35,187.02,216.35,187.02,212.69,249.36,304.36,396.04,385.04,385.04,399.70,414.37,513.38,465.71,469.38,682.06,421.71,579.39,733.40,,,
BWA,Botswana,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,2178.20,2148.86,3296.63,3509.32,3509.32,3523.99,3138.95,3212.29,3832.02,3545.99,4275.72,4334.39,4484.74,4264.72,4378.40,4525.08,4459.07,4638.76,4840.44,,,
CAF,Central African Republic,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,198.02,205.35,216.35,223.69,234.69,234.69,234.69,245.69,249.36,264.02,267.69,245.69,245.69,234.69,234.69,234.69,249.36,253.02,260.36,,,
