Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
BOL,Bolivia,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,0.83,0.85,0.95,1.13,1.22,1.26,1.14,1.26,1.30,1.20,1.15,1.04,0.97,1.31,1.18,1.13,1.12,1.38,1.33,,,
BRA,Brazil,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,1.40,1.44,1.43,1.47,1.52,1.70,1.83,1.92,1.85,1.87,1.89,1.92,1.87,1.79,1.86,1.88,1.88,1.94,2.05,,,
BRB,Barbados,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,4.14,4.63,3.75,4.26,2.85,3.15,3.22,3.40,4.29,4.54,4.44,4.55,4.57,4.71,4.80,5.00,5.06,4.97,4.97,,,
BRN,Brunei Darussalam,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,25.47,22.42,21.77,20.37,19.18,19.04,18.83,19.07,19.17,14.39,19.96,18.54,15.58,15.36,15.06,14.12,13.02,25.32,27.54,,,
BTN,Bhutan,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,0.23,0.34,0.40,0.35,0.41,0.48,0.58,0.75,0.71,0.69,0.70,0.70,0.85,0.75,0.73,1.03,0.63,0.84,1.05,,,
BWA,Botswana,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,1.58,1.51,2.25,2.33,2.27,2.22,1.93,1.93,2.26,2.05,2.43,2.43,2.48,2.33,2.36,2.41,2.35,2.41,2.48,,,
CAF,Central African Republic,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,,,
CAN,Canada,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,16.20,15.94,16.40,16.58,15.61,15.66,15.77,16.11,15.83,15.67,17.47,16.96,16.64,17.47,17.37,17.42,16.81,16.50,16.33,,,
CHE,Switzerland,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,6.40,6.23,6.30,5.91,5.93,5.59,5.66,5.87,5.90,5.70,5.44,5.95,5.60,5.48,5.47,5.56,5.60,5.03,5.28,,,
CHI,Channel Islands,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,,,,,,,,,,,,,,,,,,,,,,
CHL,Chile,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,2.65,2.46,2.49,2.61,2.83,3.03,3.39,3.84,3.92,4.09,3.90,3.46,3.55,3.53,3.87,3.91,3.99,4.21,4.35,,,
CHN,China,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,2.17,2.25,2.31,2.44,2.57,2.76,2.84,2.82,2.68,2.65,2.70,2.74,2.89,3.51,4.08,4.44,4.89,5.15,5.31,,,
CIV,Cote d'Ivoire,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,0.46,0.44,0.35,0.43,0.37,0.49,0.56,0.53,0.44,0.39,0.41,0.46,0.42,0.31,0.43,0.43,0.39,0.34,0.37,,,
CMR,Cameroon,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,0.14,0.09,0.29,0.29,0.28,0.31,0.32,0.22,0.21,0.20,0.22,0.21,0.21,0.23,0.23,0.21,0.24,0.34,0.28,,,
COG,"Congo, Rep.",EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,0.50,0.52,0.62,0.60,0.81,0.57,0.61,0.81,0.26,0.27,0.33,0.27,0.22,0.32,0.55,0.45,0.40,0.43,0.50,,,
COK,Cook Islands,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,1.25,1.24,1.23,1.22,1.21,1.20,1.21,1.22,1.23,1.65,1.65,1.83,1.60,1.77,2.88,3.21,3.36,3.32,3.48,,,
COL,Colombia,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,1.73,1.69,1.80,1.82,1.89,1.64,1.63,1.72,1.72,1.45,1.46,1.39,1.36,1.38,1.27,1.37,1.41,1.43,1.50,,,
COM,Comoros,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,0.18,0.17,0.17,0.16,0.16,0.16,0.13,0.13,0.14,0.15,0.15,0.15,0.15,0.16,0.16,0.17,0.18,0.18,0.18,,,
CPV,Cape Verde,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,0.25,0.26,0.28,0.27,0.29,0.29,0.34,0.35,0.37,0.40,0.43,0.47,0.54,0.55,0.57,0.62,0.64,0.65,0.63,,,
CRI,Costa Rica,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,0.96,1.06,1.18,1.20,1.56,1.40,1.34,1.37,1.42,1.44,1.40,1.44,1.55,1.59,1.64,1.61,1.70,1.82,1.77,,,
CUB,Cuba,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,3.15,2.78,2.92,2.72,2.97,2.35,2.46,2.24,2.22,2.28,2.34,2.28,2.33,2.27,2.13,2.19,2.41,2.38,2.79,,,
CUW,Curacao,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,,,,,,,,,,,,,,,,,,,,,,
