"fill","Country.code","Country.name","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","region2"
"二氧化碳排放总量","BOL","Bolivia",5504.17,5779.19,6648.27,8038.06,8907.14,9424.19,8734.79,9842.23,10326.27,9768.89,9519.53,8830.14,8346.09,11521.71,10626.97,10293.27,10465.62,13054.52,12834.5,"拉丁美洲和加勒比海地区"
"二氧化碳排放总量","BRA","Brazil",208886.99,219330.6,220705.73,230738.64,242154.01,275564.05,301244.05,321199.86,314012.54,322068.94,330125.34,339894.23,335185.8,324753.19,341166.68,349967.48,352541.71,368368.49,393219.74,"拉丁美洲和加勒比海地区"
"二氧化碳排放总量","BRB","Barbados",1074.43,1206.44,979.09,1114.77,748.07,828.74,850.74,902.08,1140.44,1210.11,1188.11,1221.11,1228.45,1268.78,1294.45,1353.12,1371.46,1349.46,1353.12,"拉丁美洲和加勒比海地区"
"二氧化碳排放总量","BRN","Brunei Darussalam",6420.92,5815.86,5808.53,5588.51,5408.83,5515.17,5595.84,5812.2,5984.54,4598.42,6527.26,6197.23,5320.82,5357.49,5361.15,5126.47,4822.11,9559.87,10593.96,"东亚和太平洋地区"
"二氧化碳排放总量","BTN","Bhutan",128.35,187.02,216.35,187.02,212.69,249.36,304.36,396.04,385.04,385.04,399.7,414.37,513.38,465.71,469.38,682.06,421.71,579.39,733.4,"南亚"
"二氧化碳排放总量","BWA","Botswana",2178.2,2148.86,3296.63,3509.32,3509.32,3523.99,3138.95,3212.29,3832.02,3545.99,4275.72,4334.39,4484.74,4264.72,4378.4,4525.08,4459.07,4638.76,4840.44,"撒哈拉以南非洲"
"二氧化碳排放总量","CAF","Central African Republic",198.02,205.35,216.35,223.69,234.69,234.69,234.69,245.69,249.36,264.02,267.69,245.69,245.69,234.69,234.69,234.69,249.36,253.02,260.36,"撒哈拉以南非洲"
"二氧化碳排放总量","CAN","Canada",450076.58,449053.49,467648.84,477920.11,454491.65,459790.46,467883.53,483233.59,478880.86,477868.77,537402.52,527131.25,521832.44,553478.65,555865.86,562796.49,548704.21,544171.8,544091.13,"北美"
"二氧化碳排放总量","CHE","Switzerland",42966.24,42350.18,43325.61,41022.73,41470.1,39387.25,40025.31,41580.11,41913.81,40700.03,39093.89,42999.24,40769.71,40241.66,40443.34,41374.76,41877.14,38019.46,40392.01,"欧洲和中亚"
"二氧化碳排放总量","CHI","Channel Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"欧洲和中亚"
"二氧化碳排放总量","CHL","Chile",34902.51,32992,34117.77,36288.63,40146.32,43611.63,49526.5,57054.85,58987.36,62225.32,60094.8,54018.58,56072.1,56409.46,62434.34,63805.8,65697.97,70098.37,73108.98,"拉丁美洲和加勒比海地区"
"二氧化碳排放总量","CHN","China",2460744.02,2584538.27,2695982.07,2878694.01,3058241.33,3320285.15,3463089.13,3469510.05,3324344.52,3318055.61,3405179.87,3487566.36,3694242.14,4525177.01,5288166.03,5790016.98,6414463.08,6791804.71,7031916.21,"东亚和太平洋地区"
"二氧化碳排放总量","CIV","Cote d'Ivoire",5797.53,5636.18,4624.09,5892.87,5251.14,7132.32,8379.1,8173.74,6912.3,6266.9,6791.28,7726.37,7286.33,5460.16,7664.03,7825.38,7139.65,6384.25,7014.97,"撒哈拉以南非洲"
"二氧化碳排放总量","CMR","Cameroon",1738.16,1111.1,3795.35,3898.02,3817.35,4363.73,4602.09,3215.96,3208.63,3080.28,3432.31,3421.31,3417.64,3795.35,3956.69,3696.34,4264.72,6167.89,5302.48,"撒哈拉以南非洲"
"二氧化碳排放总量","COG","Congo, Rep.",1188.11,1265.12,1573.14,1543.81,2148.86,1565.81,1716.16,2343.21,777.4,821.41,1048.76,861.75,707.73,1085.43,1903.17,1606.15,1463.13,1591.48,1936.18,"撒哈拉以南非洲"
"二氧化碳排放总量","COK","Cook Islands",22,22,22,22,22,22,22,22,22,29.34,29.34,33,29.34,33,55.01,62.34,66.01,66.01,69.67,"东亚和太平洋地区"
"二氧化碳排放总量","COL","Colombia",57337.21,57120.86,62049.31,64022.15,67571.81,59610.75,60523.84,64905.9,65976.66,56512.14,57923.93,56273.78,55661.39,57421.55,53772.89,59178.05,61561.6,63439.1,67700.15,"拉丁美洲和加勒比海地区"
"二氧化碳排放总量","COM","Comoros",77.01,77.01,77.01,77.01,77.01,80.67,66.01,66.01,73.34,80.67,84.34,88.01,91.68,99.01,102.68,110.01,121.01,121.01,124.68,"撒哈拉以南非洲"
"二氧化碳排放总量","CPV","Cape Verde",88.01,91.68,102.68,102.68,110.01,113.68,139.35,143.01,154.01,172.35,187.02,209.02,245.69,253.02,264.02,293.36,308.03,311.7,308.03,"撒哈拉以南非洲"
"二氧化碳排放总量","CRI","Costa Rica",2955.6,3336.97,3791.68,3953.03,5269.48,4866.11,4748.77,4987.12,5317.15,5522.5,5474.83,5760.86,6325.58,6626.27,6930.63,6941.63,7436.68,8118.74,8016.06,"拉丁美洲和加勒比海地区"
"二氧化碳排放总量","CUB","Cuba",33340.36,29633.03,31338.18,29347,32199.93,25658,26959.78,24605.57,24444.22,25276.63,26039.37,25452.65,26090.71,25485.65,23985.85,24634.91,27168.8,26838.77,31418.86,"拉丁美洲和加勒比海地区"
"二氧化碳排放总量","CUW","Curacao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"拉丁美洲和加勒比海地区"
"二氧化碳排放总量","CYM","Cayman Islands",253.02,275.03,278.69,289.69,289.69,289.69,286.03,286.03,286.03,282.36,454.71,454.71,469.38,480.38,495.05,517.05,535.38,539.05,557.38,"拉丁美洲和加勒比海地区"
"二氧化碳排放总量","CYP","Cyprus",4653.42,4741.43,5276.81,5665.52,5812.2,5716.85,5936.87,6109.22,6640.94,6754.61,6849.96,6846.29,7022.31,7748.37,7334,7502.68,7788.71,8195.75,8555.11,"欧洲和中亚"
"二氧化碳排放总量","CZE","Czech Republic",NA,NA,139503.68,131964.33,127688.61,129470.77,132558.38,130090.49,125525.08,111931.51,124648.66,124406.64,120193.26,122378.79,122708.82,120735.98,122785.83,123944.6,116995.64,"欧洲和中亚"
