"Country.code","Country.name","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008"
"EAP","东亚和太平洋",3093880.16,3289803.58,3450813,3688790.23,3894961.1,4222032.12,4424809.18,4464694.64,4048977.45,4078685.16,4227383.15,4375765.62,4615783.23,5508464.63,6353836.84,6892794.56,7491421.64,7938274.13,8259297.8
"ECA","欧洲和中亚",NA,NA,3885852.61,3544417.83,3095729.97,3001413.43,2929376.07,2743439.33,2665719.98,2654211.36,2696711.29,2697657.05,2705846.24,2813025.14,2847614.05,2873631.77,2983959.16,3050860.82,3110254.41
"LAC","拉美和加勒比海",986228.65,1001061.66,1022689.63,1056323.35,1104848.77,1129491.01,1173293.32,1230476.52,1280047.02,1306420.09,1293515.92,1327817.03,1335657.08,1354190.1,1371285.65,1416279.74,1449594.44,1515347.41,1584103.66
"MNA","中东和北非",566372.45,597625.19,637511.14,640556.43,717998.5,736006.07,739326.54,751419.64,822695.12,816263.2,854818.04,872889.01,893655.23,987746.79,1029682.6,1082102.36,1136439.97,1175841.89,1230256.5
"SAS","南亚",782042.76,829911.77,882456.22,917861.1,977600.2,1036972.6,1131962.56,1175882.22,1205405.24,1283446.33,1336053.12,1359910.62,1389855.34,1449891.46,1534610.16,1602354.32,1713919.13,1838124.09,1970176.42
"SSA","撒哈拉以南非洲",464093.67,472215.62,475675.86,494622.16,497102.74,490805.67,506057.19,516327.12,513001.12,520580.69,553951.49,553342.29,557337.12,582613.06,637167.15,644584.53,637809.58,671237.62,684558.62
"WLD","全球",22529936,22867024,22445664,22467648,22896336,23401968,23903936,24361936,24292320,24076144,24688032,25281600,25483120,26706896,28106544,29205744,30136400,30649360,NA
NA,"北美",1776683.50333333,1773267.08,1781354.03666667,1881961.85,1894047.06,1899408.21333333,1937290.76666667,1995025.23666667,1976140.18666667,2002171,2016765.66333333,1972518.41666667,1986724.37333333,2008580.91666667,2040112.22333333,2052866.05333333,2021333.51666667,2042075.29333333,2001831.19
