"Country.code","Country.name","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","region2"
"NPL","Nepal",634.39,960.75,1331.12,1466.8,1697.82,2035.19,2486.23,2783.25,2251.54,3219.63,3234.29,3454.31,2709.91,2951.94,2768.59,3234.29,3325.97,3421.31,3542.32,"南亚"
"NRU","Nauru",132.01,132.01,135.68,135.68,135.68,139.35,139.35,139.35,139.35,135.68,135.68,139.35,139.35,143.01,143.01,143.01,143.01,143.01,143.01,"东亚和太平洋"
"NZL","New Zealand",24022.52,24458.89,26171.38,25511.32,26439.07,26904.78,29702.7,31063.16,30058.4,31558.2,32698.64,34202.11,33641.06,33714.4,33545.72,33369.7,33553.05,32936.99,33094.68,"东亚和太平洋"
"OMN","Oman",10351.94,10949.66,12097.43,13468.89,15269.39,15933.12,15225.38,15595.75,16666.52,20817.56,22057.01,20443.53,25544.32,32691.31,31561.87,34653.15,38917.87,40373.67,45749.49,"中东和北非"
"PAK","Pakistan",68565.57,68242.87,72789.95,78008.09,84839.71,84484.01,94447.25,94711.28,97663.21,100384.13,106449.34,108282.84,114084.04,118895.14,131619.63,136636.09,145854.93,160882.29,163177.83,"南亚"
"PAN","Panama",3135.29,3391.98,4015.37,4129.04,4781.77,3472.65,4880.78,5958.88,5947.87,5669.18,5790.19,7007.64,5834.2,6153.23,5797.53,6032.22,6824.29,6651.94,6912.3,"拉美和加勒比海"
"PER","Peru",21169.59,20417.86,20388.52,23556.81,23230.45,23883.17,24363.55,27407.16,27806.86,29358,30296.75,27165.14,27187.14,26380.4,31895.57,37418.07,35346.21,43512.62,40535.02,"拉美和加勒比海"
"PHL","Philippines",44532.05,45830.17,50322.24,51290.33,56270.12,63105.4,65642.97,77403.04,75650.21,73020.97,79111.86,77164.68,76057.25,76244.26,78998.18,81066.37,67630.48,78580.14,83156.56,"东亚和太平洋"
"PLW","Palau",234.69,234.69,113.68,110.01,110.01,113.68,117.34,117.34,117.34,117.34,117.34,183.35,183.35,190.68,190.68,194.35,205.35,212.69,212.69,"东亚和太平洋"
"PNG","Papua New Guinea",2141.53,2064.52,2053.52,1994.85,2181.87,2038.85,2163.53,2555.9,2838.26,2464.22,2687.91,3230.63,3512.99,3967.69,4481.07,4613.09,4594.75,3113.28,2108.53,"东亚和太平洋"
"POL","Poland",366773.34,361591.87,357283.14,352519.71,336161.22,346813.86,358823.28,351049.24,326935.05,317133.16,301691.42,302806.19,296931.66,304856.05,305138.4,303766.95,319410.37,315204.32,316066.06,"欧洲和中亚"
"PRI","Puerto Rico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"拉美和加勒比海"
"PRK","Korea, Dem. Rep.",244834.59,251145.5,255413.88,262139.16,259641.94,259348.58,256682.67,234688,64927.9,71396.49,76966.66,79922.27,76530.29,78209.78,79925.93,83475.59,85034.06,70710.76,78371.12,"东亚和太平洋"
"PRT","Portugal",43725.31,48239.39,52372.09,47472.98,48767.43,52394.1,50886.96,53376.85,58055.94,64689.55,62966.06,62863.38,66820.07,61275.57,63175.08,65309.27,59108.37,60234.14,56310.45,"欧洲和中亚"
"PRY","Paraguay",2262.54,2233.2,2621.91,2951.94,3498.32,3964.03,3751.34,4195.05,4503.08,4503.08,3689,3821.01,3898.02,4070.37,4088.71,3832.02,3986.03,4136.38,4118.04,"拉美和加勒比海"
"PYF","French Polynesia",630.72,638.06,645.39,649.06,568.39,583.05,557.38,575.72,572.05,575.72,645.39,737.07,748.07,821.41,788.41,854.41,821.41,839.74,891.08,"东亚和太平洋"
"QAT","Qatar",11774.74,17674.94,26802.1,30722.13,30223.41,30824.8,31825.89,36288.63,32401.61,31407.86,34730.16,30098.74,30788.13,35947.6,44777.74,51895.38,57223.54,67934.84,68477.56,"中东和北非"
"ROM","Romania",158861.77,137530.84,125063.04,122133.1,116808.62,128524.68,127835.29,115987.21,103680.76,89639.82,89984.51,95672.03,92173.71,95939.72,95378.67,94960.63,102001.27,98422.28,94659.94,"欧洲和中亚"
"RUS","Russian Federation",NA,NA,2220720.53,2030029.2,1752998.35,1692364.5,1668958.04,1577033.69,1511269.71,1534250.8,1553451.21,1544404.72,1537195.4,1584998.41,1602963.04,1615683.87,1669603.44,1667575.58,1708653.32,"欧洲和中亚"
"RWA","Rwanda",682.06,630.72,638.06,641.73,619.72,612.39,630.72,652.73,641.73,671.06,685.73,689.4,689.4,682.06,689.4,689.4,689.4,715.07,704.06,"撒哈拉以南非洲"
"SAU","Saudi Arabia",215054.88,268475.74,286807.07,315567.35,310616.9,234856.68,258516.17,216826.04,207288.18,227229.32,297749.4,295842.56,323458.74,323671.42,346018.12,367033.7,383399.52,397121.43,433556.74,"中东和北非"
"SDN","Sudan",5559.17,5386.82,4756.1,2907.93,4444.4,4602.09,4268.39,5419.83,4697.43,5093.46,5533.5,6369.58,8118.74,9072.16,10377.61,11994.76,11683.06,12676.82,14051.94,"撒哈拉以南非洲"
"SEN","Senegal",3182.96,3424.98,3479.98,3593.66,3901.69,3494.65,3740.34,3263.63,3428.65,3700,3938.36,4330.73,4547.08,5012.79,5280.48,5859.87,4789.1,5372.16,4976.12,"撒哈拉以南非洲"
"SGP","Singapore",46941.27,47425.31,50267.24,54627.3,65367.94,47109.95,55305.69,69240.29,57293.21,50263.57,47623.33,42764.55,42060.49,34653.15,40769.71,50281.9,47865.35,36013.61,32295.27,"东亚和太平洋"
